SchedDepLat,SchedDepLong,ArrivalLat,ArrivalLong,SchedDep_Epoch,FlightNumDec,FlightNumber,ArcTangent,Distance
21.04274167,-86.8732,38.74869722,-90.370025,1659377700,7070845655,FFT87,-0.19498506,18.0479541
41.40940833,-81.85469167,33.43427778,-112.0115833,1659356580,7.07E+13,FFT2415,1.312260221,31.19360223
36.08004444,-115.1522361,39.87208333,-75.24066389,1659331800,7.07E+13,FFT2142,1.476069667,40.09131022
39.86166667,-104.6731667,43.11914444,-77.67186944,1659389580,7.07E+11,FFT866,1.450735027,27.197081
38.80581389,-104.700775,33.43427778,-112.0115833,1659324960,7.07E+13,FFT2823,0.937134003,9.072007395
41.88468889,-91.7108,39.86166667,-104.6731667,1659371340,7.07E+11,FFT691,1.415976381,13.11928235
33.6367,-84.42786389,21.04274167,-86.8732,1659351600,7.07E+11,FFT155,0.191781049,12.82916424
18.42972222,-69.66888889,25.79536111,-80.29011667,1659392040,7070845357,FFT59,-0.96445772,12.92528978
25.79536111,-80.29011667,28.42938889,-81.309,1659315720,7.07E+13,FFT1280,-0.369089199,2.824221235
36.08004444,-115.1522361,33.67566111,-117.8682333,1659363300,7.07E+13,FFT2125,0.846180759,3.627354406
18.33730556,-64.97333333,18.4394,-66.00213333,1659379620,7.07E+11,FFT131,-1.47188374,1.033853333
34.05601389,-117.6011889,39.86166667,-104.6731667,1659297360,7.07E+11,FFT976,1.14871182,14.17178049
41.40940833,-81.85469167,21.04274167,-86.8732,1659369120,7.07E+11,FFT207,0.241595052,20.97585604
42.21244444,-83.35338889,39.86166667,-104.6731667,1659355200,7.07E+11,FFT623,1.460977178,21.4489879
35.21375,-80.94905556,39.86166667,-104.6731667,1659401760,7.07E+11,FFT659,-1.377331418,24.17512314
18.4394,-66.00213333,18.42972222,-69.66888889,1659378300,7070845755,FFT97,1.568157002,3.666768331
41.40940833,-81.85469167,39.87208333,-75.24066389,1659317400,7.07E+13,FFT2266,-1.342417451,6.790341054
39.86166667,-104.6731667,36.08004444,-115.1522361,1659395640,7.07E+11,FFT777,1.22446736,11.14053689
38.85143889,-77.03772222,39.86166667,-104.6731667,1659394020,7.07E+11,FFT539,-1.534257086,27.65390301
33.6367,-84.42786389,18.4394,-66.00213333,1659317820,7.07E+11,FFT100,-0.881123132,23.88441906
32.73355556,-117.1896667,39.86166667,-104.6731667,1659360300,7.07E+11,FFT550,1.053107417,14.40391406
32.89723333,-97.03769444,36.08004444,-115.1522361,1659301260,7.07E+13,FFT2147,-1.396866929,18.39203377
32.89723333,-97.03769444,39.86166667,-104.6731667,1659323340,7.07E+11,FFT507,-0.831327707,10.33459087
36.08004444,-115.1522361,33.6367,-84.42786389,1659334080,7.07E+13,FFT2000,-1.491438702,30.82137213
36.124475,-86.67818056,39.87208333,-75.24066389,1659371700,7.07E+13,FFT2306,1.254161095,12.03583631
40.78839444,-111.9777722,39.86166667,-104.6731667,1659380760,7.07E+11,FFT574,-1.444601542,7.36315733
28.42938889,-81.309,34.05601389,-117.6011889,1659397380,7.07E+13,FFT1151,-1.416984086,36.72576594
39.87208333,-75.24066389,29.99327778,-90.25902778,1659388980,7.07E+13,FFT2339,0.988970075,17.97615234
39.87208333,-75.24066389,25.79536111,-80.29011667,1659358020,7.07E+13,FFT2327,0.344412595,14.95496847
39.87208333,-75.24066389,29.98443611,-95.34144167,1659313740,7.07E+13,FFT2319,1.1136467,22.4010454
39.04883889,-84.66782222,39.86166667,-104.6731667,1659358500,7.07E+11,FFT647,-1.530188131,20.02185048
33.43427778,-112.0115833,33.6367,-84.42786389,1659301740,7.07E+13,FFT1562,1.563457991,27.58446213
40.77725,-73.87261111,28.42938889,-81.309,1659304740,7.07E+13,FFT1335,0.542065705,14.4142136
41.97694167,-87.90815,28.42938889,-81.309,1659322200,7.07E+13,FFT1155,-0.453282629,15.06933864
44.47195556,-73.153275,39.86166667,-104.6731667,1659371820,7.07E+11,FFT703,1.425560185,31.85527172
41.93903333,-72.68431667,39.86166667,-104.6731667,1659394860,7.07E+11,FFT747,1.505947051,32.05623151
39.87208333,-75.24066389,28.42938889,-81.309,1659399300,7.07E+13,FFT1165,0.487611535,12.95221831
33.43427778,-112.0115833,41.78597222,-87.75241667,1659300600,7.07E+13,FFT1374,1.239235603,25.65653846
39.04883889,-84.66782222,28.42938889,-81.309,1659305100,7.07E+13,FFT1065,-0.306333635,11.13797131
39.87208333,-75.24066389,28.42938889,-81.309,1659392100,7.07E+13,FFT1167,0.487611535,12.95221831
39.87208333,-75.24066389,41.78597222,-87.75241667,1659350100,7.07E+13,FFT1463,-1.419005657,12.65728756
